75.0	q3	q3 (50.50, 75.25]
85.0	q4	q4 (75.25, 100.00]
44.0	q2	q2 (25.75, 50.50]
63.0	q3	q3 (50.50, 75.25]
27.0	q2	q2 (25.75, 50.50]
83.0	q4	q4 (75.25, 100.00]
90.0	q4	q4 (75.25, 100.00]
67.0	q3	q3 (50.50, 75.25]
77.0	q4	q4 (75.25, 100.00]
69.0	q3	q3 (50.50, 75.25]
88.0	q4	q4 (75.25, 100.00]
72.0	q3	q3 (50.50, 75.25]
8.0	q1	q1 (1.00, 25.75]
60.0	q3	q3 (50.50, 75.25]
18.0	q1	q1 (1.00, 25.75]
37.0	q2	q2 (25.75, 50.50]
45.0	q2	q2 (25.75, 50.50]
34.0	q2	q2 (25.75, 50.50]
28.0	q2	q2 (25.75, 50.50]
65.0	q3	q3 (50.50, 75.25]
70.0	q3	q3 (50.50, 75.25]
54.0	q3	q3 (50.50, 75.25]
23.0	q1	q1 (1.00, 25.75]
91.0	q4	q4 (75.25, 100.00]
22.0	q1	q1 (1.00, 25.75]
49.0	q2	q2 (25.75, 50.50]
16.0	q1	q1 (1.00, 25.75]
58.0	q3	q3 (50.50, 75.25]
36.0	q2	q2 (25.75, 50.50]
12.0	q1	q1 (1.00, 25.75]
43.0	q2	q2 (25.75, 50.50]
33.0	q2	q2 (25.75, 50.50]
32.0	q2	q2 (25.75, 50.50]
24.0	q1	q1 (1.00, 25.75]
2.0	q1	q1 (1.00, 25.75]
13.0	q1	q1 (1.00, 25.75]
46.0	q2	q2 (25.75, 50.50]
52.0	q3	q3 (50.50, 75.25]
66.0	q3	q3 (50.50, 75.25]
39.0	q2	q2 (25.75, 50.50]
98.0	q4	q4 (75.25, 100.00]
68.0	q3	q3 (50.50, 75.25]
30.0	q2	q2 (25.75, 50.50]
64.0	q3	q3 (50.50, 75.25]
61.0	q3	q3 (50.50, 75.25]
99.0	q4	q4 (75.25, 100.00]
10.0	q1	q1 (1.00, 25.75]
97.0	q4	q4 (75.25, 100.00]
92.0	q4	q4 (75.25, 100.00]
96.0	q4	q4 (75.25, 100.00]
7.0	q1	q1 (1.00, 25.75]
19.0	q1	q1 (1.00, 25.75]
100.0	q4	q4 (75.25, 100.00]
74.0	q3	q3 (50.50, 75.25]
5.0	q1	q1 (1.00, 25.75]
89.0	q4	q4 (75.25, 100.00]
50.0	q2	q2 (25.75, 50.50]
84.0	q4	q4 (75.25, 100.00]
1.0	q1	q1 (1.00, 25.75]
62.0	q3	q3 (50.50, 75.25]
41.0	q2	q2 (25.75, 50.50]
79.0	q4	q4 (75.25, 100.00]
59.0	q3	q3 (50.50, 75.25]
71.0	q3	q3 (50.50, 75.25]
31.0	q2	q2 (25.75, 50.50]
95.0	q4	q4 (75.25, 100.00]
73.0	q3	q3 (50.50, 75.25]
55.0	q3	q3 (50.50, 75.25]
93.0	q4	q4 (75.25, 100.00]
